freq (Hz),dB20(clip(dft((VT("/Out+") - VT("/Out-")) VAR("tstart") (VAR("tstart") + (VAR("M") / VAR("fsamp"))) (VAR("M") * VAR("pts_per_symbol")) "Rectangular" 1 "default" 1.5) 0 (VAR("fsamp") / 2))) J 13  (dB),dB20(clip(dft((VT("/Out+") - VT("/Out-")) VAR("tstart") (VAR("tstart") + (VAR("M") / VAR("fsamp"))) (VAR("M") * VAR("pts_per_symbol")) "Rectangular" 1 "default" 1.5) 0 (VAR("fsamp") / 2))) J 1013  (dB)
87.50E6,-126.8,-131.0
87.70E6,-85.55,-74.67
87.89E6,-130.4,-128.8
88.09E6,-89.40,-84.62
88.28E6,-127.4,-129.5
88.48E6,-89.73,-92.94
88.67E6,-127.5,-130.1
88.87E6,-75.89,-80.47
89.06E6,-130.1,-127.4
89.26E6,-81.22,-79.43
89.45E6,-131.4,-134.3
89.65E6,-100.6,-80.70
89.84E6,-132.8,-127.1
90.04E6,-90.39,-71.13
90.23E6,-125.6,-129.7
90.43E6,-83.63,-91.63
90.63E6,-133.8,-121.6
90.82E6,-93.88,-83.09
91.02E6,-131.0,-127.7
91.21E6,-102.3,-82.98
91.41E6,-110.7,-131.8
91.60E6,-82.90,-82.36
91.80E6,-129.6,-128.7
91.99E6,-86.29,-75.84
92.19E6,-133.3,-134.0
92.38E6,-85.88,-103.4
92.58E6,-123.1,-129.9
92.77E6,-93.72,-85.96
92.97E6,-133.2,-129.1
93.16E6,-80.45,-79.43
93.36E6,-129.5,-134.0
93.55E6,-81.43,-86.52
93.75E6,-130.2,-130.1
93.95E6,-80.93,-77.80
94.14E6,-126.7,-123.6
94.34E6,-83.37,-81.01
94.53E6,-128.2,-136.6
94.73E6,-85.02,-75.01
94.92E6,-133.1,-127.5
95.12E6,-85.71,-91.19
95.31E6,-121.6,-132.7
95.51E6,-80.29,-82.55
95.70E6,-134.5,-126.5
95.90E6,-83.79,-86.76
96.09E6,-132.6,-132.3
96.29E6,-83.71,-79.33
96.48E6,-116.5,-128.8
96.68E6,-87.40,-86.68
96.88E6,-129.6,-129.4
97.07E6,-87.63,-86.33
97.27E6,-130.2,-132.8
97.46E6,-81.33,-88.51
97.66E6,-126.9,-126.5
97.85E6,-80.54,-81.36
98.05E6,-134.2,-128.7
98.24E6,-76.79,-87.34
98.44E6,-135.6,-134.1
98.63E6,-85.52,-74.29
98.83E6,-131.5,-110.3
99.02E6,-93.85,-87.41
99.22E6,-122.9,-124.9
99.41E6,-78.07,-83.00
99.61E6,-128.8,-125.7
99.80E6,-88.88,-78.52
100.0E6,-129.2,-134.8
100.2E6,-78.64,-82.29
100.4E6,-122.4,-126.1
100.6E6,-91.47,-78.93
100.8E6,-135.4,-128.7
101.0E6,-92.31,-85.56
101.2E6,-138.1,-134.4
101.4E6,-84.65,-99.94
101.6E6,-126.0,-127.6
101.8E6,-87.16,-82.55
102.0E6,-127.7,-134.9
102.1E6,-89.55,-94.88
102.3E6,-128.7,-135.1
102.5E6,-98.27,-77.97
102.7E6,-128.3,-132.5
102.9E6,-82.69,-80.17
103.1E6,-136.8,-114.6
103.3E6,-81.76,-67.21
103.5E6,-132.6,-128.4
103.7E6,-82.85,-76.00
103.9E6,-138.1,-132.1
104.1E6,-100.1,-85.22
104.3E6,-123.8,-133.8
104.5E6,-80.64,-87.64
104.7E6,-129.4,-131.4
104.9E6,-86.10,-80.10
105.1E6,-129.4,-131.4
105.3E6,-80.18,-93.96
105.5E6,-126.4,-126.7
105.7E6,-85.12,-83.65
105.9E6,-138.1,-125.9
106.1E6,-90.45,-81.49
106.3E6,-129.0,-129.7
106.4E6,-98.02,-84.05
106.6E6,-125.1,-124.5
106.8E6,-85.74,-78.34
107.0E6,-128.4,-128.3
107.2E6,-89.57,-84.80
107.4E6,-131.6,-114.7
107.6E6,-84.53,-70.54
107.8E6,-125.4,-125.5
108.0E6,-84.50,-85.69
108.2E6,-132.0,-124.4
108.4E6,-81.96,-81.13
108.6E6,-134.9,-127.8
108.8E6,-82.03,-78.74
109.0E6,-131.0,-129.2
109.2E6,-87.65,-89.60
109.4E6,-131.2,-128.4
109.6E6,-79.83,-102.8
109.8E6,-129.5,-134.5
110.0E6,-95.82,-86.78
110.2E6,-133.0,-129.2
110.4E6,-86.97,-83.83
110.5E6,-126.9,-128.6
110.7E6,-90.42,-77.24
110.9E6,-131.8,-137.9
111.1E6,-88.76,-94.56
111.3E6,-127.9,-125.2
111.5E6,-91.14,-88.14
111.7E6,-119.3,-112.8
111.9E6,-83.91,-90.26
112.1E6,-134.2,-121.6
112.3E6,-88.22,-87.93
112.5E6,-132.3,-131.8
112.7E6,-78.07,-82.02
112.9E6,-129.9,-128.8
113.1E6,-81.14,-87.32
113.3E6,-129.2,-127.6
113.5E6,-82.31,-83.46
113.7E6,-132.5,-133.4
113.9E6,-90.92,-96.85
114.1E6,-127.1,-129.9
114.3E6,-85.05,-84.12
114.5E6,-133.7,-129.2
114.6E6,-90.91,-89.86
114.8E6,-133.9,-134.7
115.0E6,-88.73,-78.18
115.2E6,-141.0,-127.6
115.4E6,-94.38,-91.70
115.6E6,-122.6,-124.5
115.8E6,-88.21,-97.52
116.0E6,-130.2,-126.9
116.2E6,-94.72,-67.75
116.4E6,-131.1,-124.3
116.6E6,-82.64,-94.38
116.8E6,-110.0,-128.3
117.0E6,-86.59,-92.43
117.2E6,-136.5,-125.1
117.4E6,-92.63,-94.14
117.6E6,-130.8,-131.1
117.8E6,-82.50,-80.73
118.0E6,-132.8,-126.2
118.2E6,-93.96,-88.38
118.4E6,-132.2,-126.8
118.6E6,-78.99,-92.60
118.8E6,-130.6,-133.8
118.9E6,-82.89,-81.36
119.1E6,-125.6,-125.3
119.3E6,-90.01,-80.10
119.5E6,-137.0,-129.3
119.7E6,-85.35,-83.98
119.9E6,-138.2,-131.3
120.1E6,-97.72,-75.97
120.3E6,-140.6,-125.6
120.5E6,-92.85,-70.83
120.7E6,-120.3,-122.0
120.9E6,-85.01,-81.05
121.1E6,-132.4,-127.1
121.3E6,-91.47,-86.02
121.5E6,-129.3,-133.2
121.7E6,-84.48,-83.55
121.9E6,-110.1,-125.6
122.1E6,-88.63,-77.69
122.3E6,-128.5,-129.3
122.5E6,-83.14,-85.55
122.7E6,-140.3,-130.1
122.9E6,-84.68,-80.32
123.0E6,-125.6,-124.9
123.2E6,-90.45,-84.58
123.4E6,-128.2,-130.7
123.6E6,-87.65,-89.73
123.8E6,-131.1,-128.7
124.0E6,-80.87,-84.55
124.2E6,-129.3,-122.8
124.4E6,-88.77,-80.71
124.6E6,-128.7,-120.2
124.8E6,-89.14,-68.21
125.0E6,-136.8,-126.4
125.2E6,-89.74,-83.11
125.4E6,-140.2,-132.5
125.6E6,-80.75,-90.74
125.8E6,-122.3,-128.4
126.0E6,-87.01,-83.40
126.2E6,-136.7,-129.3
126.4E6,-85.40,-77.77
126.6E6,-129.0,-131.5
126.8E6,-79.71,-84.05
127.0E6,-112.5,-127.9
127.1E6,-94.69,-96.98
127.3E6,-129.6,-130.4
127.5E6,-85.68,-86.42
127.7E6,-131.7,-127.5
127.9E6,-98.48,-84.77
128.1E6,-130.8,-126.2
128.3E6,-91.49,-93.73
128.5E6,-126.4,-136.4
128.7E6,-86.68,-79.57
128.9E6,-136.8,-113.8
129.1E6,-82.10,-72.07
129.3E6,-128.8,-128.7
129.5E6,-101.7,-83.50
129.7E6,-126.5,-121.8
129.9E6,-82.14,-86.47
130.1E6,-130.9,-128.7
130.3E6,-90.31,-80.87
130.5E6,-131.8,-128.4
130.7E6,-83.39,-82.49
130.9E6,-122.0,-126.1
131.1E6,-79.94,-91.97
131.3E6,-139.5,-130.4
131.4E6,-89.69,-95.66
131.6E6,-138.0,-128.5
131.8E6,-99.20,-78.18
132.0E6,-114.2,-126.7
132.2E6,-83.02,-93.98
132.4E6,-128.6,-129.4
132.6E6,-89.76,-85.39
132.8E6,-131.2,-125.3
133.0E6,-86.99,-81.19
133.2E6,-141.8,-119.4
133.4E6,-95.04,-74.61
133.6E6,-131.3,-120.8
133.8E6,-85.47,-87.42
134.0E6,-144.6,-133.9
134.2E6,-89.97,-84.56
134.4E6,-131.1,-123.5
134.6E6,-84.32,-82.41
134.8E6,-127.7,-126.6
135.0E6,-84.87,-87.90
135.2E6,-130.5,-131.5
135.4E6,-85.12,-90.85
135.5E6,-128.5,-125.7
135.7E6,-88.26,-89.82
135.9E6,-123.7,-126.2
136.1E6,-83.39,-79.77
136.3E6,-140.1,-132.6
136.5E6,-91.61,-79.82
136.7E6,-139.8,-125.1
136.9E6,-96.32,-79.79
137.1E6,-144.0,-127.8
137.3E6,-95.68,-79.71
137.5E6,-127.2,-127.7
137.7E6,-92.16,-78.37
137.9E6,-130.1,-141.4
138.1E6,-88.38,-85.87
138.3E6,-131.0,-130.6
138.5E6,-89.40,-87.63
138.7E6,-143.2,-126.9
138.9E6,-82.72,-85.31
139.1E6,-136.8,-128.8
139.3E6,-87.63,-94.73
139.5E6,-130.6,-123.4
139.6E6,-99.21,-88.21
139.8E6,-128.2,-126.0
140.0E6,-80.07,-90.02
140.2E6,-128.8,-125.5
140.4E6,-87.20,-94.02
140.6E6,-129.6,-123.6
140.8E6,-90.17,-90.88
141.0E6,-129.4,-130.2
141.2E6,-93.25,-80.71
141.4E6,-142.0,-123.0
141.6E6,-86.41,-81.28
141.8E6,-136.7,-120.4
142.0E6,-82.87,-76.92
142.2E6,-137.5,-116.9
142.4E6,-91.95,-81.89
142.6E6,-131.8,-125.4
142.8E6,-89.25,-88.14
143.0E6,-132.4,-129.1
143.2E6,-79.31,-92.20
143.4E6,-124.4,-127.0
143.6E6,-91.11,-79.30
143.8E6,-131.7,-130.4
143.9E6,-88.84,-88.80
144.1E6,-144.0,-129.3
144.3E6,-96.53,-97.55
144.5E6,-124.2,-125.6
144.7E6,-78.66,-81.47
144.9E6,-139.8,-129.5
145.1E6,-91.21,-79.26
145.3E6,-129.6,-123.8
145.5E6,-86.13,-81.94
145.7E6,-131.6,-120.5
145.9E6,-87.30,-84.38
146.1E6,-119.9,-138.1
146.3E6,-83.59,-69.50
146.5E6,-130.7,-118.5
146.7E6,-85.11,-84.78
146.9E6,-131.3,-126.7
147.1E6,-85.44,-80.00
147.3E6,-114.0,-122.0
147.5E6,-95.20,-86.45
147.7E6,-135.7,-126.1
147.9E6,-87.31,-80.11
148.0E6,-132.9,-126.0
148.2E6,-88.52,-91.27
148.4E6,-124.5,-124.0
148.6E6,-83.31,-91.29
148.8E6,-130.9,-128.3
149.0E6,-83.70,-80.84
149.2E6,-133.4,-124.7
149.4E6,-79.12,-82.73
149.6E6,-127.4,-123.4
149.8E6,-90.59,-104.2
150.0E6,-134.4,-123.0
150.2E6,-84.49,-88.31
150.4E6,-158.2,-119.6
150.6E6,-109.0,-82.08
150.8E6,-134.9,-126.1
151.0E6,-102.8,-79.95
151.2E6,-114.3,-121.6
151.4E6,-82.48,-84.84
151.6E6,-130.1,-126.3
151.8E6,-90.11,-92.24
152.0E6,-131.8,-122.2
152.1E6,-96.20,-78.98
152.3E6,-112.5,-124.3
152.5E6,-88.44,-93.23
152.7E6,-142.2,-127.1
152.9E6,-93.43,-97.67
153.1E6,-138.3,-124.8
153.3E6,-83.08,-85.30
153.5E6,-133.2,-125.9
153.7E6,-95.55,-88.74
153.9E6,-131.6,-136.9
154.1E6,-83.03,-85.81
154.3E6,-130.7,-123.3
154.5E6,-91.48,-88.21
154.7E6,-128.0,-114.6
154.9E6,-92.07,-67.35
155.1E6,-130.7,-124.4
155.3E6,-91.54,-84.98
155.5E6,-134.4,-143.7
155.7E6,-104.4,-93.05
155.9E6,-133.2,-127.2
156.1E6,-94.33,-82.83
156.3E6,-112.3,-125.6
156.4E6,-92.18,-82.51
156.6E6,-131.9,-126.6
156.8E6,-86.05,-85.69
157.0E6,-131.4,-121.3
157.2E6,-86.16,-84.65
157.4E6,-121.4,-123.0
157.6E6,-84.99,-85.67
157.8E6,-143.9,-123.4
158.0E6,-92.82,-81.63
158.2E6,-139.9,-119.9
158.4E6,-85.87,-86.79
158.6E6,-142.9,-126.5
158.8E6,-93.80,-93.98
159.0E6,-129.0,-114.6
159.2E6,-85.96,-73.13
159.4E6,-132.4,-129.9
159.6E6,-90.16,-85.06
159.8E6,-130.7,-118.9
160.0E6,-88.83,-92.26
160.2E6,-122.3,-122.3
160.4E6,-87.66,-88.90
160.5E6,-131.9,-124.9
160.7E6,-85.96,-82.28
