freq (Hz),dB20(clip(dft((VT("/Out+") - VT("/Out-")) VAR("tstart") (VAR("tstart") + (VAR("M") / VAR("fsamp"))) (VAR("M") * VAR("pts_per_symbol")) "Rectangular" 1 "default" 1.5) 0 (VAR("fsamp") / 2))) J 13  (dB),dB20(clip(dft((VT("/Out+") - VT("/Out-")) VAR("tstart") (VAR("tstart") + (VAR("M") / VAR("fsamp"))) (VAR("M") * VAR("pts_per_symbol")) "Rectangular" 1 "default" 1.5) 0 (VAR("fsamp") / 2))) J 1013  (dB)
74.61E6,-125.6,-109.1
74.80E6,-85.37,-76.65
75.00E6,-122.7,-108.2
75.20E6,-81.61,-89.71
75.39E6,-125.3,-108.7
75.59E6,-106.1,-90.54
75.78E6,-124.9,-109.1
75.98E6,-79.04,-90.63
76.17E6,-114.9,-108.3
76.37E6,-89.21,-84.32
76.56E6,-126.5,-108.0
76.76E6,-89.70,-87.48
76.95E6,-126.5,-109.4
77.15E6,-87.72,-79.30
77.34E6,-128.0,-104.1
77.54E6,-92.15,-71.60
77.73E6,-124.5,-108.6
77.93E6,-77.90,-81.51
78.13E6,-125.1,-109.6
78.32E6,-86.17,-91.72
78.52E6,-124.0,-108.1
78.71E6,-85.04,-82.63
78.91E6,-128.6,-109.2
79.10E6,-86.15,-75.90
79.30E6,-127.3,-109.2
79.49E6,-109.5,-91.31
79.69E6,-128.1,-108.3
79.88E6,-93.30,-87.23
80.08E6,-121.3,-109.1
80.27E6,-81.31,-78.43
80.47E6,-124.8,-109.3
80.66E6,-81.77,-84.20
80.86E6,-124.8,-108.4
81.05E6,-82.41,-85.90
81.25E6,-114.0,-109.1
81.45E6,-82.85,-81.44
81.64E6,-128.1,-107.9
81.84E6,-92.54,-81.53
82.03E6,-127.9,-107.4
82.23E6,-86.71,-81.65
82.42E6,-132.9,-109.0
82.62E6,-100.7,-85.76
82.81E6,-124.6,-109.5
83.01E6,-87.67,-82.17
83.20E6,-125.2,-108.6
83.40E6,-83.60,-77.43
83.59E6,-124.0,-108.9
83.79E6,-84.43,-94.97
83.98E6,-129.5,-110.0
84.18E6,-87.76,-82.09
84.38E6,-128.2,-108.6
84.57E6,-83.28,-87.99
84.77E6,-128.5,-109.2
84.96E6,-92.47,-88.14
85.16E6,-121.4,-110.0
85.35E6,-85.83,-88.84
85.55E6,-125.2,-108.7
85.74E6,-91.01,-83.81
85.94E6,-125.4,-108.8
86.13E6,-84.11,-71.79
86.33E6,-114.2,-109.7
86.52E6,-84.75,-85.00
86.72E6,-127.8,-108.6
86.91E6,-86.90,-96.71
87.11E6,-127.9,-109.6
87.30E6,-81.77,-84.14
87.50E6,-127.7,-109.8
87.70E6,-95.71,-74.98
87.89E6,-125.7,-109.1
88.09E6,-87.60,-106.4
88.28E6,-126.2,-109.3
88.48E6,-89.59,-88.56
88.67E6,-125.7,-110.0
88.87E6,-77.58,-82.39
89.06E6,-127.3,-109.1
89.26E6,-81.77,-85.18
89.45E6,-127.5,-109.3
89.65E6,-98.34,-81.63
89.84E6,-127.2,-109.9
90.04E6,-94.08,-75.82
90.23E6,-123.2,-107.1
90.43E6,-81.05,-89.78
90.63E6,-127.2,-109.1
90.82E6,-101.5,-87.23
91.02E6,-127.0,-110.8
91.21E6,-82.82,-84.33
91.41E6,-115.5,-109.0
91.60E6,-81.08,-86.32
91.80E6,-126.4,-108.9
91.99E6,-98.86,-74.90
92.19E6,-126.7,-110.4
92.38E6,-86.11,-97.46
92.58E6,-124.5,-108.6
92.77E6,-86.06,-90.61
92.97E6,-128.0,-109.3
93.16E6,-78.90,-83.08
93.36E6,-128.1,-109.8
93.55E6,-79.63,-92.14
93.75E6,-128.7,-108.7
93.95E6,-84.16,-81.34
94.14E6,-125.0,-108.5
94.34E6,-86.15,-84.06
94.53E6,-126.4,-110.2
94.73E6,-84.33,-80.16
94.92E6,-126.0,-109.9
95.12E6,-82.68,-92.25
95.31E6,-128.3,-109.2
95.51E6,-82.51,-89.78
95.70E6,-129.5,-109.8
95.90E6,-89.99,-94.49
96.09E6,-129.2,-108.9
96.29E6,-86.50,-76.69
96.48E6,-117.7,-108.7
96.68E6,-83.60,-94.63
96.88E6,-126.0,-109.8
97.07E6,-92.39,-87.88
97.27E6,-126.2,-109.2
97.46E6,-84.79,-86.01
97.66E6,-123.6,-108.4
97.85E6,-82.04,-84.88
98.05E6,-131.5,-110.2
98.24E6,-79.26,-83.75
98.44E6,-130.1,-108.5
98.63E6,-85.73,-77.78
98.83E6,-132.6,-108.4
99.02E6,-84.89,-92.82
99.22E6,-124.0,-110.6
99.41E6,-80.76,-86.57
99.61E6,-126.1,-107.2
99.80E6,-91.37,-79.14
100.0E6,-125.6,-108.7
100.2E6,-84.73,-78.15
100.4E6,-135.2,-108.9
100.6E6,-90.36,-76.43
100.8E6,-130.8,-108.7
101.0E6,-89.24,-81.90
101.2E6,-130.7,-108.4
101.4E6,-85.45,-87.83
101.6E6,-119.3,-109.9
101.8E6,-86.85,-79.98
102.0E6,-126.0,-108.9
102.1E6,-84.00,-89.71
102.3E6,-126.4,-109.3
102.5E6,-90.31,-80.18
102.7E6,-124.2,-110.6
102.9E6,-84.15,-81.88
103.1E6,-131.6,-113.2
103.3E6,-85.68,-72.06
103.5E6,-129.8,-106.5
103.7E6,-82.54,-80.90
103.9E6,-131.0,-108.2
104.1E6,-86.23,-86.46
104.3E6,-124.8,-108.6
104.5E6,-83.55,-90.35
104.7E6,-127.1,-107.6
104.9E6,-90.73,-84.61
105.1E6,-126.5,-109.7
105.3E6,-80.90,-87.65
105.5E6,-126.4,-108.6
105.7E6,-88.14,-86.06
105.9E6,-129.6,-108.7
106.1E6,-97.68,-78.76
106.3E6,-128.7,-109.7
106.4E6,-84.47,-82.28
106.6E6,-118.0,-109.9
106.8E6,-88.01,-80.51
107.0E6,-127.4,-109.4
107.2E6,-100.8,-83.16
107.4E6,-128.3,-116.0
107.6E6,-84.46,-73.57
107.8E6,-126.2,-107.2
108.0E6,-79.90,-101.3
108.2E6,-127.9,-108.6
108.4E6,-90.30,-83.02
108.6E6,-128.5,-109.8
108.8E6,-84.97,-78.91
109.0E6,-127.4,-109.2
109.2E6,-83.15,-86.03
109.4E6,-128.2,-108.9
109.6E6,-83.19,-88.03
109.8E6,-128.9,-110.1
110.0E6,-87.93,-85.03
110.2E6,-129.4,-110.1
110.4E6,-89.93,-87.10
110.5E6,-122.7,-108.7
110.7E6,-85.87,-83.85
110.9E6,-127.8,-110.6
111.1E6,-88.05,-89.79
111.3E6,-127.0,-108.6
111.5E6,-91.90,-92.52
111.7E6,-115.9,-120.4
111.9E6,-80.84,-88.23
112.1E6,-130.7,-113.8
112.3E6,-89.16,-90.70
112.5E6,-130.4,-109.5
112.7E6,-77.97,-82.03
112.9E6,-132.2,-109.3
113.1E6,-84.18,-88.47
113.3E6,-126.3,-110.0
113.5E6,-85.81,-86.01
113.7E6,-127.5,-109.6
113.9E6,-91.35,-84.59
114.1E6,-125.4,-108.6
114.3E6,-82.18,-94.29
114.5E6,-134.7,-110.6
114.6E6,-86.55,-85.73
114.8E6,-131.7,-109.6
115.0E6,-91.32,-83.29
115.2E6,-133.3,-108.2
115.4E6,-91.58,-95.49
115.6E6,-120.9,-108.9
115.8E6,-87.64,-91.36
116.0E6,-126.9,-108.9
116.2E6,-91.25,-71.68
116.4E6,-126.9,-112.6
116.6E6,-91.91,-90.77
116.8E6,-114.5,-109.9
117.0E6,-86.09,-85.32
117.2E6,-133.3,-111.2
117.4E6,-104.4,-86.60
117.6E6,-132.5,-108.3
117.8E6,-81.95,-80.12
118.0E6,-145.2,-110.3
118.2E6,-89.22,-84.68
118.4E6,-126.2,-109.1
118.6E6,-77.78,-95.96
118.8E6,-127.4,-109.4
118.9E6,-83.88,-84.93
119.1E6,-125.5,-109.0
119.3E6,-95.37,-80.79
119.5E6,-136.0,-109.8
119.7E6,-83.55,-86.26
119.9E6,-132.2,-107.4
120.1E6,-87.65,-81.41
120.3E6,-133.1,-107.3
120.5E6,-88.31,-73.53
120.7E6,-120.4,-111.6
120.9E6,-85.34,-85.03
121.1E6,-127.5,-108.8
121.3E6,-96.11,-89.04
121.5E6,-127.5,-111.5
121.7E6,-80.50,-81.76
121.9E6,-114.7,-109.8
122.1E6,-99.27,-76.96
122.3E6,-131.3,-109.3
122.5E6,-94.29,-85.77
122.7E6,-131.5,-109.8
122.9E6,-82.87,-83.43
123.0E6,-129.7,-111.1
123.2E6,-90.01,-83.98
123.4E6,-127.6,-108.5
123.6E6,-81.09,-100.0
123.8E6,-128.5,-111.7
124.0E6,-85.11,-81.05
124.2E6,-127.5,-109.0
124.4E6,-88.29,-82.31
124.6E6,-128.7,-113.7
124.8E6,-96.94,-72.03
125.0E6,-129.6,-110.0
125.2E6,-92.88,-87.53
125.4E6,-129.6,-109.6
125.6E6,-81.48,-86.45
125.8E6,-121.8,-108.9
126.0E6,-93.20,-88.52
126.2E6,-129.8,-109.7
